,mapping,question_lbl,paths,entity,relations
92,http://atomic_questions.org/eprog75_mapping_20251115024908,What associations were qualified during the generation of this data entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association,"['prov:Generation', 'provone:Data', 'provone:Execution', 'prov:Association']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation']"
93,http://atomic_questions.org/eprog76_mapping_20251115024909,What are the usage events related to the execution that generated this data item?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage,"['prov:Generation', 'provone:Data', 'provone:Execution', 'prov:Usage']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedUsage']"
94,http://atomic_questions.org/eprog77_mapping_20251115024910,What was the program planned to produce this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program,"['prov:Generation', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan']"
95,http://atomic_questions.org/eprog78_mapping_20251115024911,Who was the user associated with the execution that generated this specific data entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:agent->provone:User,"['prov:Generation', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:User']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:agent']"
96,http://atomic_questions.org/eprog79_mapping_20251115024912,What input ports were used to consume this data item during execution?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port,"['prov:Generation', 'provone:Data', 'provone:Execution', 'prov:Usage', 'provone:Port']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedUsage', 'provone:hadInPort']"
97,http://atomic_questions.org/eprog7_mapping_20251115024754,What output ports were used when this data entity was generated in the program execution?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port,"['prov:Usage', 'provone:Data', 'provone:Execution', 'prov:Generation', 'provone:Port']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedGeneration', 'provone:hadOutPort']"
98,http://atomic_questions.org/eprog7_mapping_20251115024916,explore_object_of_class provone:Program | find by object uri value | relation:dcterms:identifier,provone:Program -> dcterms:identifier,['provone:Program'],['dcterms:identifier']
99,http://atomic_questions.org/eprog80_mapping_20251115024913,What are the input ports of the program associated with the generation of this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port,"['prov:Generation', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasInPort']"
100,http://atomic_questions.org/eprog81_mapping_20251115024915,What are the output ports of the program that planned for the generation of this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port,"['prov:Generation', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasOutPort']"
101,http://atomic_questions.org/eprog82_mapping_20251115024916,What is the channel that connects the input port of a program associated with this data generation?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port->provone:connectsTo->provone:Channel,"['prov:Generation', 'provone:Data', 'provone:Execution', 'prov:Usage', 'provone:Port', 'provone:Channel']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedUsage', 'provone:hadInPort', 'provone:connectsTo']"
102,http://atomic_questions.org/eprog8_mapping_20251115024756,What was the program used to generate this entity?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program,"['prov:Usage', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan']"
103,http://atomic_questions.org/eprog8_mapping_20251115024916,explore_object_of_class provone:Program | find by prop value | relation:dcterms:identifier,provone:Program -> dcterms:identifier,['provone:Program'],['dcterms:identifier']
104,http://atomic_questions.org/eprog9_mapping_20251115024757,Who was the user responsible for the execution that generated this data item?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:agent->provone:User,"['prov:Usage', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:User']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:agent']"
105,http://atomic_questions.org/eprog9_mapping_20251115024916,explore_object_of_class provone:Program | find by object uri value | relation:rdfs:label,provone:Program -> rdfs:label,['provone:Program'],['rdfs:label']
